# Mountain elevation from Marin Anderson
# Azimuth_deg Elevation_deg
111.71171171 4.30182030
112.07207207 4.21982343
112.43243243 4.15650279
112.79279279 4.10474422
113.15315315 4.04900533
113.51351351 3.95280420
113.87387387 3.82350878
114.23423423 3.71496637
114.59459459 3.66689144
114.95495495 3.57859412
115.31531532 3.45058819
115.67567568 3.31026240
116.03603604 3.28974906
116.39639640 3.30672124
116.75675676 3.30363673
117.11711712 3.38151292
117.47747748 3.37580377
117.83783784 3.28077414
118.19819820 3.25211289
118.55855856 3.25676060
118.91891892 3.16502258
119.27927928 3.02644148
119.63963964 2.95260346
120.00000000 2.87313989
120.36036036 2.77418464
120.72072072 2.72570041
121.08108108 2.64227342
121.44144144 2.62245393
121.80180180 2.61165691
122.16216216 2.73213449
122.52252252 2.74329559
122.88288288 2.75572670
123.24324324 2.79716322
123.60360360 2.84799068
123.96396396 2.88607637
124.32432432 2.85581759
124.68468468 2.90059225
125.04504505 2.90589894
125.40540541 2.94311264
125.76576577 2.92689514
126.12612613 2.91395630
126.48648649 2.88342008
126.84684685 2.87718680
127.20720721 2.92234147
127.56756757 2.93798291
127.92792793 3.01511817
128.28828829 3.17862712
128.64864865 3.30759339
129.00900901 3.25809769
129.36936937 3.14733651
129.72972973 3.11505703
130.09009009 3.14694641
130.45045045 3.19048211
130.81081081 3.25776648
131.17117117 3.36589787
131.53153153 3.42779775
131.89189189 3.42061445
132.25225225 3.44406620
132.61261261 3.50494646
132.97297297 3.52872738
133.33333333 3.43161169
133.69369369 3.31227770
134.05405405 3.28516485
134.41441441 3.27693716
134.77477477 3.29728759
135.13513514 3.33339571
135.49549550 3.39958358
135.85585586 3.47862308
136.21621622 3.59683586
136.57657658 3.68457853
136.93693694 3.73978558
137.29729730 3.73262593
137.65765766 3.67626983
138.01801802 3.58937480
138.37837838 3.52628451
138.73873874 3.53843258
139.09909910 3.56440331
139.45945946 3.60910898
139.81981982 3.62292808
140.18018018 3.67025029
140.54054054 3.64896528
140.90090090 3.61910073
141.26126126 3.57313473
141.62162162 3.52832543
141.98198198 3.46991586
142.34234234 3.51436609
142.70270270 3.50977681
143.06306306 3.48465014
143.42342342 3.44695354
143.78378378 3.40556489
144.14414414 3.39705463
144.50450450 3.37508596
144.86486486 3.40843996
145.22522523 3.49587837
145.58558559 3.43155814
145.94594595 3.28860575
146.30630631 3.25604287
146.66666667 3.21241406
147.02702703 3.13425457
147.38738739 3.15639754
147.74774775 3.04842622
148.10810811 2.95349983
148.46846847 2.85824655
148.82882883 2.75852588
149.18918919 2.69006710
149.54954955 2.73596081
149.90990991 2.74364643
150.27027027 2.67355767
150.63063063 2.71667815
150.99099099 2.74152474
151.35135135 2.84074984
151.71171171 2.83934935
152.07207207 2.82626309
152.43243243 2.74946116
152.79279279 2.70731712
153.15315315 2.68147709
153.51351351 2.55431686
153.87387387 2.37095935
154.23423423 2.19846797
154.59459459 2.00343293
154.95495495 1.91292797
155.31531532 1.85295719
155.67567568 1.77278732
156.03603604 1.60371241
156.39639640 1.48992557
156.75675676 1.40674789
157.11711712 1.34901268
157.47747748 1.39620173
157.83783784 1.36111707
158.19819820 1.30882597
158.55855856 1.23120384
158.91891892 1.09987804
159.27927928 1.05216276
159.63963964 1.01342244
160.00000000 0.85820614
160.36036036 0.75833864
160.72072072 0.69234798
161.08108108 0.60884056
161.44144144 0.54213037
161.80180180 0.48342299
162.16216216 0.38022183
162.52252252 0.32622878
162.88288288 0.31970713
163.24324324 0.31314295
163.60360360 0.30658766
163.96396396 0.30007538
164.32432432 0.29348722
164.68468468 0.28688798
165.04504505 0.25633463
165.40540541 0.23731142
165.76576577 0.25820882
166.12612613 0.32788317
166.48648649 0.41167596
166.84684685 0.53241714
167.20720721 0.61875592
167.56756757 0.77254624
167.92792793 0.87208204
168.28828829 0.97303560
168.64864865 1.08731419
169.00900901 1.19632769
169.36936937 1.25381421
169.72972973 1.25059776
170.09009009 1.27377181
170.45045045 1.36652402
170.81081081 1.38153950
171.17117117 1.44764719
171.53153153 1.54225514
171.89189189 1.51090848
172.25225225 1.53991510
172.61261261 1.58799387
172.97297297 1.63657395
173.33333333 1.64889487
173.69369369 1.69817571
174.05405405 1.77106157
174.41441441 1.82440410
174.77477477 1.88177616
175.13513514 1.84544503
175.49549550 1.93061391
175.85585586 2.04069225
176.21621622 2.00172178
176.57657658 2.01747021
176.93693694 2.17067461
177.29729730 2.16571249
177.65765766 2.11284280
178.01801802 2.14644035
178.37837838 2.15425403
178.73873874 2.21531818
179.09909910 2.16833618
179.45945946 2.20860474
179.81981982 2.27465926
180.18018018 2.35669687
180.54054054 2.25604432
180.90090090 2.46784086
181.26126126 2.42851517
181.62162162 2.51374256
181.98198198 2.71198525
182.34234234 2.72260002
182.70270270 2.70477540
183.06306306 2.51636175
183.42342342 2.51350198
183.78378378 2.46538088
184.14414414 2.41514630
184.50450450 2.57715733
184.86486486 2.61893543
185.22522523 2.68638819
185.58558559 2.81344684
185.94594595 2.85534502
186.30630631 2.96167445
186.66666667 3.16231074
187.02702703 3.11635280
