common_name,ra_current,dec_current,coords_sexagesimal,distance
GJ 514,202.5073851,10.36940654,13h30m01.77s +10d22m09.86s,7.627686798
BD J264.6527.55,264.64806,27.54975,17h38m35.53s +27d32m59.10s,7.639419404
Gaia DR3 2257597439718033536,274.7462482,66.18938665,18h18m59.10s +66d11m21.79s,7.64215882
Gaia DR3 96331172942614528,25.62169519,20.26364824,01h42m29.21s +20d15m49.13s,7.643894261
BD J358.512.67,358.51162,2.67058,23h54m02.79s +02d40m14.09s,7.656967841
Gaia DR3 411413822074322432,17.11150823,54.90885603,01h08m26.76s +54d54m31.88s,7.675299832
Gaia DR3 6623351805412369024,342.0213494,-24.37013798,22h48m05.12s -24d22m12.50s,7.676325777
Gaia DR3 114207651462714880,41.07154288,25.52074219,02h44m17.17s +25d31m14.67s,7.680749107
Gaia DR3 3828238392559860992,153.0725121,-3.747424478,10h12m17.40s -03d44m50.73s,7.706867967
Gaia DR3 4375233191015944192,261.4342744,2.102866826,17h25m44.23s +02d06m10.32s,7.713318653
Gaia DR3 2322561156529549440,6.183320237,-27.13532455,00h24m44.00s -27d08m07.17s,7.732950871
Gaia DR3 999747822484300800,90.29452546,59.59048326,06h01m10.69s +59d35m25.74s,7.733868236
Gaia DR3 4177731838628465408,271.2856987,-3.033722239,18h05m08.57s -03d02m01.40s,7.738832989
Gaia DR3 3365063724883180288,104.8770276,19.34238881,06h59m30.49s +19d20m32.60s,7.752743412
Gaia DR3 2161121135533953536,270.572449,64.25951753,18h02m17.39s +64d15m34.26s,7.793888452
Gaia DR3 4468009917744160000,270.1116552,1.579696733,18h00m26.80s +01d34m46.91s,7.809167892
BD J270.111.58,270.11033,1.58247,18h00m26.48s +01d34m56.89s,7.846522029
BD J1.3237.62,1.32283,37.62236,00h05m17.48s +37d37m20.50s,7.880220646
Gaia DR3 4145870293808914688,271.8821784,-15.96558073,18h07m31.72s -15d57m56.09s,7.971248995
Gaia DR3 3288921720025503360,72.46342235,6.961364165,04h49m51.22s +06d57m40.91s,8.024406945
GJ 1151,177.7237032,48.37042538,11h50m53.69s +48d22m13.53s,8.042608135
GJ 486,191.9785471,9.748076347,12h47m54.85s +09d44m53.07s,8.079134288
Gaia DR3 1954170404122975232,327.0751983,40.06979066,21h48m18.05s +40d04m11.25s,8.085693084
Gaia DR3 2246206567973292160,307.6412276,65.4516052,20h30m33.89s +65d27m05.78s,8.087038542
Gaia DR3 3698534434669937024,183.5620828,0.621938103,12h14m14.90s +00d37m18.98s,8.087804009
BD J327.0740.07,327.06791,40.06648,21h48m16.30s +40d03m59.33s,8.111892196
Gaia DR3 5700706729031126656,123.1704752,-21.55695173,08h12m40.91s -21d33m25.03s,8.116666068
Gaia DR3 WD_Unknown_ID,89.10285757,5.356774875,05h56m24.69s +05d21m24.39s,8.11695559
Gl 686,264.4793395,18.59882223,17h37m55.04s +18d35m55.76s,8.15962801
BD J80.3636.68,80.36225,36.68344,05h21m26.94s +36d41m00.38s,8.183306056
Gaia DR3 4479498508613790464,279.8816832,9.028565697,18h39m31.60s +09d01m42.84s,8.198145021
Gaia DR3 2396530698208685312,345.0601226,-22.52392795,23h00m14.43s -22d31m26.14s,8.23232535
Gaia DR3 533621859441169920,15.67444562,71.67705942,01h02m41.87s +71d40m37.41s,8.233174792
BD J177.5663.04,177.55773,63.04489,11h50m13.86s +63d02m41.60s,8.23723229
Gaia DR3 4594497838483177984,266.6018798,27.71195666,17h46m24.45s +27d42m43.04s,8.305791692
Gaia DR3 4594497769766809216,266.6122342,27.71512732,17h46m26.94s +27d42m54.46s,8.33855824
Gaia DR3 WD_Unknown_ID,204.1056807,3.671385946,13h36m25.36s +03d40m16.99s,8.350270465
Gaia DR3 2159844052779000064,275.5981791,62.04156151,18h22m23.56s +62d02m29.62s,8.350600644
GJ 1289,355.7847653,36.53589013,23h43m08.34s +36d32m09.20s,8.362644038
Gaia DR3 2974726136265625088,75.61743316,-21.25829429,05h02m28.18s -21d15m29.86s,8.415739882
BD J8.715.38,8.7149,5.38475,00h34m51.58s +05d23m05.10s,8.417508418
Gaia DR3 WD_Unknown_ID,327.9158886,59.29287635,21h51m39.81s +59d17m34.35s,8.463451853
Gaia DR3 1534011998572555776,188.4288204,41.35958821,12h33m42.92s +41d21m34.52s,8.472665929
Gaia DR3 3377365057060447616,96.17635675,23.42936652,06h24m42.33s +23d25m45.72s,8.494280859
61 Vir,199.5931667,-18.31887721,13h18m22.36s -18d19m07.96s,8.534415099
Gaia DR3 WD_Unknown_ID,343.4905178,-6.786722529,22h53m57.72s -06d47m12.20s,8.536881033
Gaia DR3 3705324881045028992,195.1328487,5.687199486,13h00m31.88s +05d41m13.92s,8.544620063
BD J60.65-26.86,60.64504,-26.86054,04h02m34.81s -26d51m37.94s,8.591065292
CD Cet,48.35811363,4.775440416,03h13m25.95s +04d46m31.59s,8.600832525
Gaia DR3 1165479168642900992,232.6250564,9.435062213,15h30m30.01s +09d26m06.22s,8.61753552
Gaia DR3 5761985432616501376,133.3969307,-3.493719017,08h53m35.26s -03d29m37.39s,8.658940445
Gaia DR3 3399063235755057792,88.59429409,20.27560012,05h54m22.63s +20d16m32.16s,8.699460211
Gaia DR3 4365609170043180416,254.2773894,-4.351694377,16h57m06.57s -04d21m06.10s,8.702020274
BD J169.6631.43,169.66125,31.4272,11h18m38.70s +31d25m37.92s,8.734639045
Gaia DR3 2794735086363871360,9.073993261,18.35375555,00h36m17.76s +18d21m13.52s,8.735649021
BD J9.0718.35,9.06713,18.35286,00h36m16.11s +18d21m10.30s,8.739982887
Gaia DR3 3101923001490347392,103.0712679,-5.173738056,06h52m17.10s -05d10m25.46s,8.744719768
Gaia DR3 3101920046552857728,103.0709934,-5.190105967,06h52m17.04s -05d11m24.38s,8.749587508
Gaia DR3 4031586157514097024,177.7781525,35.27384354,11h51m06.76s +35d16m25.84s,8.765362316
BD J294.234.14,294.2349,4.13734,19h36m56.38s +04d08m14.42s,8.779631255
HD 192310,303.8325405,-27.03428402,20h15m19.81s -27d02m03.42s,8.811567976
GJ 849,332.426308,-4.640896356,22h09m42.31s -04d38m27.23s,8.814865837
Gaia DR3 4519789321942643072,286.7694888,20.88551782,19h07m04.68s +20d53m07.86s,8.829856019
Gaia DR3 4519789081415296128,286.8013004,20.87461479,19h07m12.31s +20d52m28.61s,8.832142633
Gaia DR3 3211461469444773376,75.20815128,-5.761677419,05h00m49.96s -05d45m42.04s,8.843964761
Gaia DR3 922225002820369152,119.5550102,41.29873246,07h58m13.20s +41d17m55.44s,8.850130987
Gaia DR3 2400808245117576704,339.6919483,-20.6148755,22h38m46.07s -20d36m53.55s,8.850602534
Gaia DR3 3519785523672576384,186.2270942,-18.25896994,12h24m54.50s -18d15m32.29s,8.875164385
BD J111.8317.17,111.82602,17.167,07h27m18.24s +17d10m01.20s,8.888888889
Gaia DR3 2964001014514075520,86.10818748,-22.42438396,05h44m25.96s -22d25m27.78s,8.89157098
Gaia DR3 2400808142038361088,339.6933606,-20.6217063,22h38m46.41s -20d37m18.14s,8.897911484
Gaia DR3 2964000159821218432,86.11351433,-22.45104703,05h44m27.24s -22d27m03.77s,8.905034452
Gaia DR3 3089711447388931584,124.0305378,1.303010888,08h16m07.33s +01d18m10.84s,8.938964836
Gaia DR3 981548637301374336,105.9902602,52.69516648,07h03m57.66s +52d41m42.60s,9.023125614
BD J103.1347.18,103.12799,47.17637,06h52m30.72s +47d10m34.93s,9.065361255
Gaia DR3 1057318835428596096,169.9680986,65.84780204,11h19m52.34s +65d50m52.09s,9.071896342
Gaia DR3 5164120762333028736,55.81139939,-9.758015996,03h43m14.74s -09d45m28.86s,9.088811163
Gaia DR3 74203982469858816,34.12812719,13.58375618,02h16m30.75s +13d35m01.52s,9.095044376
Gaia DR3 WD_Unknown_ID,10.3548287,-22.35339405,00h41m25.16s -22d21m12.22s,9.096896503
Gaia DR3 1893189736896880640,330.3077423,28.3072278,22h01m13.86s +28d18m26.02s,9.102927897
Gaia DR3 954697944875755136,103.1267424,47.17732435,06h52m30.42s +47d10m38.37s,9.110367514
BD J58.8511.56,58.84739,11.56217,03h55m23.37s +11d33m43.81s,9.120334607
Gaia DR3 WD_Unknown_ID,115.0952384,-17.41757319,07h40m22.86s -17d25m03.26s,9.145449224
BD J108.34-29.3,108.34398,-29.29777,07h13m22.56s -29d17m51.97s,9.149130833
